No_Siri;No_Pendaftaran_SSM;Nama_Pendaftaran;Nama_Perniagaan;Negeri;Kod_Industri;BBU__SBU;Pegawai;Penyelia;Pegawai_Kerja_Luar;Siri_Kekerapan;Tahun_Rujukan;Status_Respon;Status_Rekod;Cara_Terima;Tarikh_Terima;Bilangan_Pekerja;Gaji_dan_Upah_RM;Nilai_Jualan_RM;Jumlah_pendapatan;Jumlah_Perbelanjaan_RM;Jumlah_Harta__AsetRM;Stok_Akhir_RM;Catatan
A2183;SSM2183;SYARIKAT A2183;;JOHOR;46416;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2184;SSM2184;SYARIKAT A2184;;JOHOR;47531;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;1;0;;54913;46741;1;0;
A2185;SSM2185;SYARIKAT A2185;;JOHOR;46433;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2186;SSM2186;SYARIKAT A2186;;JOHOR;47634;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;6;92025;;945037;;;;
A2187;SSM2187;SYARIKAT A2187;;JOHOR;46202;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2188;SSM2188;SYARIKAT A2188;;JOHOR;46204;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2189;SSM2189;SYARIKAT A2189;;JOHOR;46329;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2190;SSM2190;SYARIKAT A2190;;JOHOR;47213;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Semakan SMD;Kerja Luar;25/08/2019;3;39800;;241234;141402;29160;81542;
A2191;SSM2191;SYARIKAT A2191;;JOHOR;46321;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2192;SSM2192;SYARIKAT A2192;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;04/06/2019;5;86400;;2141471;1729065;3645;11347;
A2193;SSM2193;SYARIKAT A2193;;JOHOR;47520;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;1;0;;56953;48478;1;0;
A2194;SSM2194;SYARIKAT A2194;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;Kerja Luar;03/07/2019;4;32918;;513750;;;;
A2195;SSM2195;SYARIKAT A2195;;JOHOR;46621;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;20/06/2019;4;43776;;481529;438015;64771;77651;
A2196;SSM2196;SYARIKAT A2196;;JOHOR;47620;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;21/08/2019;2;0;;54038;49050;19694;2307;
A2197;SSM2197;SYARIKAT A2197;;JOHOR;47620;SBU;Boss;Ketua;Amoi;;2018;31-Tidak menjalankan perusahaan;Selesai;Kerja Luar;30/07/2019;;;;;;;;
A2198;SSM2198;SYARIKAT A2198;;JOHOR;47711;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;Kerja Luar;;1;0;;71261;60657;1;0;
A2199;SSM2199;SYARIKAT A2199;;JOHOR;47612;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;21/08/2019;2;23904;;222753;118020;44512;12422;
A2200;SSM2200;SYARIKAT A2200;;JOHOR;47212;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;1;0;;70307;59845;1;0;
A2201;SSM2201;SYARIKAT A2201;;JOHOR;47213;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;1;0;;58287;49613;1;0;
A2202;SSM2202;SYARIKAT A2202;;JOHOR;47219;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;17/06/2019;2;0;;88178;61864;4920;1323;
A2203;SSM2203;SYARIKAT A2203;;JOHOR;47213;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;06/06/2019;1;0;;284940;228910;8505;201596;
A2204;SSM2204;SYARIKAT A2204;;JOHOR;47420;SBU;Boss;Ketua;Amoi;;2018;76-Dalam proses lengkap;Dalam Proses;;21/05/2019;;;;;;;;
A2205;SSM2205;SYARIKAT A2205;;JOHOR;46592;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2206;SSM2206;SYARIKAT A2206;;JOHOR;47213;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;29/05/2019;3;26400;;308518;141718;45562;3795;
A2207;SSM2207;SYARIKAT A2207;;JOHOR;46599;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2208;SSM2208;SYARIKAT A2208;;JOHOR;47219;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;01/08/2019;4;27882;;666455;608617;97200;10659;
A2209;SSM2209;SYARIKAT A2209;;JOHOR;46416;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2210;SSM2210;SYARIKAT A2210;;JOHOR;46329;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;6;90830;;914247;0;1;;
A2211;SSM2211;SYARIKAT A2211;;JOHOR;47510;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;06/08/2019;1;0;;79365;67810;1;1800;
A2212;SSM2212;SYARIKAT A2212;;JOHOR;47732;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;13/08/2019;3;109800;;2450535;2345792;1518;2188800;
A2213;SSM2213;SYARIKAT A2213;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;29/05/2019;2;13200;;257472;221600;36145;4724;
A2214;SSM2214;SYARIKAT A2214;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;29/07/2019;3;34800;;173290;136661;6900;9387;
A2215;SSM2215;SYARIKAT A2215;;JOHOR;47742;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;18/08/2019;6;128040;;1711236;1527143;34134;73070;
A2216;SSM2216;SYARIKAT A2216;;JOHOR;47213;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;08/08/2019;4;45102;;327942;170940;3057;40204;
A2217;SSM2217;SYARIKAT A2217;;JOHOR;47591;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;;;;;;;;
A2218;SSM2218;SYARIKAT A2218;;JOHOR;47620;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;Kerja Luar;;;;;47549;40473;;;
A2219;SSM2219;SYARIKAT A2219;;JOHOR;47199;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;Kerja Luar;;1;0;;66022;56197;1;0;
A2220;SSM2220;SYARIKAT A2220;;JOHOR;47213;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;Kerja Luar;;1;0;;50980;43393;1;0;
A2221;SSM2221;SYARIKAT A2221;;JOHOR;47213;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;25/06/2019;1;0;;44237;29121;2589;839;
A2222;SSM2222;SYARIKAT A2222;;JOHOR;47593;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Semakan SMD;Kerja Luar;25/08/2019;3;29073;;180948;144116;135909;78873;
A2223;SSM2223;SYARIKAT A2223;;JOHOR;46204;SBU;Boss;Ketua;Amoi;;2018;22-Tidak terdapat pertubuhan di alamat yang diberi;Selesai;Kerja Luar;24/06/2019;;;;;;;;
A2224;SSM2224;SYARIKAT A2224;;JOHOR;47222;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;Kerja Luar;;1;0;;76810;65380;1;0;
A2225;SSM2225;SYARIKAT A2225;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;20/06/2019;6;151076;;956367;698442;105731;18416;
A2226;SSM2226;SYARIKAT A2226;;JOHOR;47212;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;29/07/2019;5;74400;;716300;341100;21554;0;
A2227;SSM2227;SYARIKAT A2227;;JOHOR;46202;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2228;SSM2228;SYARIKAT A2228;;JOHOR;47213;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;20/06/2019;2;0;;321679;212217;175235;31958;
A2229;SSM2229;SYARIKAT A2229;;JOHOR;46321;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;18/08/2019;3;43201;;415249;417650;15386;17731;
A2230;SSM2230;SYARIKAT A2230;;JOHOR;47213;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;22/05/2019;2;13968;;158592;86681;5902;7512;
A2231;SSM2231;SYARIKAT A2231;;JOHOR;47510;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2232;SSM2232;SYARIKAT A2232;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2233;SSM2233;SYARIKAT A2233;;JOHOR;47734;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;14/08/2019;6;150513;;800761;768679;104895;27118;
A2234;SSM2234;SYARIKAT A2234;;JOHOR;46497;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2235;SSM2235;SYARIKAT A2235;;JOHOR;46313;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2236;SSM2236;SYARIKAT A2236;;JOHOR;47191;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2237;SSM2237;SYARIKAT A2237;;JOHOR;47711;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;18/07/2019;3;34975;;136731;122222;40857;32637;
A2238;SSM2238;SYARIKAT A2238;;JOHOR;47413;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;Kerja Luar;02/07/2019;;;;;;;;
A2239;SSM2239;SYARIKAT A2239;;JOHOR;47219;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;19/06/2019;1;0;;94723;53984;3679;2342;
A2240;SSM2240;SYARIKAT A2240;;JOHOR;47213;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;21/08/2019;2;0;;270926;19114;972;29008;
A2241;SSM2241;SYARIKAT A2241;;JOHOR;46633;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2242;SSM2242;SYARIKAT A2242;;JOHOR;46639;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2243;SSM2243;SYARIKAT A2243;;JOHOR;47213;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;Kerja Luar;;1;0;;51101;43497;1;0;
A2244;SSM2244;SYARIKAT A2244;;JOHOR;46497;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2245;SSM2245;SYARIKAT A2245;;JOHOR;47411;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;18/08/2019;6;178793;;1699413;1427004;33578;72565;
A2246;SSM2246;SYARIKAT A2246;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;19/06/2019;1;0;;126804;83118;14368;7095;
A2247;SSM2247;SYARIKAT A2247;;JOHOR;46493;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2248;SSM2248;SYARIKAT A2248;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;1;0;;64933;55270;1;0;
A2249;SSM2249;SYARIKAT A2249;;JOHOR;46441;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2250;SSM2250;SYARIKAT A2250;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;02/08/2019;8;233618;;1762825;1372332;33995;41097;
A2251;SSM2251;SYARIKAT A2251;;JOHOR;47736;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;20/08/2019;2;15851;;120558;113782;33933;35094;
A2252;SSM2252;SYARIKAT A2252;;JOHOR;45101;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;29/07/2019;3;95385;;1002449;977338;26751;229319;
A2253;SSM2253;SYARIKAT A2253;;JOHOR;46202;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Semakan SMD;Kerja Luar;25/08/2019;1;0;;23434;29187;2030;859;
A2254;SSM2254;SYARIKAT A2254;;JOHOR;47213;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;04/07/2019;1;0;;50448;23613;15778;8117;
A2255;SSM2255;SYARIKAT A2255;;JOHOR;46421;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2256;SSM2256;SYARIKAT A2256;;JOHOR;47199;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;11/07/2019;2;18000;;72000;80525;200243;5000;
A2257;SSM2257;SYARIKAT A2257;;JOHOR;46312;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2258;SSM2258;SYARIKAT A2258;;JOHOR;45101;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;02/08/2019;3;18182;;455265;397028;17497;64577;
A2259;SSM2259;SYARIKAT A2259;;JOHOR;45300;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;25/07/2019;6;97800;;675409;613822;14213;20003;
A2260;SSM2260;SYARIKAT A2260;;JOHOR;47213;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;02/07/2019;1;0;;137091;73600;434;118;
A2261;SSM2261;SYARIKAT A2261;;JOHOR;47411;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;1;0;;60785;51739;1;0;
A2262;SSM2262;SYARIKAT A2262;;JOHOR;46205;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2263;SSM2263;SYARIKAT A2263;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;1;0;;60269;51300;1;;
A2264;SSM2264;SYARIKAT A2264;;JOHOR;47721;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;1;0;;56873;48410;1;0;
A2265;SSM2265;SYARIKAT A2265;;JOHOR;47411;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;Kerja Luar;09/07/2019;1;0;;72870;62026;1;0;
A2266;SSM2266;SYARIKAT A2266;;JOHOR;46202;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2267;SSM2267;SYARIKAT A2267;;JOHOR;47894;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;08/08/2019;2;12473;;137028;122059;12299;38722;
A2268;SSM2268;SYARIKAT A2268;;JOHOR;47213;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;03/07/2019;2;0;;391941;271991;770;15726;
A2269;SSM2269;SYARIKAT A2269;;JOHOR;47531;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;1;0;;48549;41324;1;;
A2270;SSM2270;SYARIKAT A2270;;JOHOR;47531;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;1;0;;51219;43597;1;;
A2271;SSM2271;SYARIKAT A2271;;JOHOR;47612;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;1;0;;49847;42429;1;;
A2272;SSM2272;SYARIKAT A2272;;JOHOR;47612;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Semakan SMD;Kerja Luar;26/08/2019;1;0;;170386;103540;78791;11455;
A2273;SSM2273;SYARIKAT A2273;;JOHOR;47216;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;06/08/2019;11;241238;;806369;607622;63485;34000;
A2274;SSM2274;SYARIKAT A2274;;JOHOR;47721;SBU;Boss;Ketua;Amoi;;2018;22-Tidak terdapat pertubuhan di alamat yang diberi;Selesai;Kerja Luar;16/06/2019;;0;;0;;;;
A2275;SSM2275;SYARIKAT A2275;;JOHOR;47213;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;18/06/2019;1;0;;27683;17184;517;213;
A2276;SSM2276;SYARIKAT A2276;;JOHOR;46205;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;Kerja Luar;01/07/2019;;;;;;;;
A2277;SSM2277;SYARIKAT A2277;;JOHOR;47194;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;1;0;;59641;50766;1;;
A2278;SSM2278;SYARIKAT A2278;;JOHOR;46411;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2279;SSM2279;SYARIKAT A2279;;JOHOR;46413;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2280;SSM2280;SYARIKAT A2280;;JOHOR;47810;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;14/05/2019;3;18000;;207853;153879;28982;5498;
A2281;SSM2281;SYARIKAT A2281;;JOHOR;47212;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;18/06/2019;3;0;;87963;61905;15187;2926;
A2282;SSM2282;SYARIKAT A2282;;JOHOR;47213;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;06/08/2019;2;15450;;168705;145086;2455;20245;
A2283;SSM2283;SYARIKAT A2283;;JOHOR;47214;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;14/05/2019;4;38696;;537098;405650;32226;7364;
A2284;SSM2284;SYARIKAT A2284;;JOHOR;47411;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;;0;;63623;54155;1;0;
A2285;SSM2285;SYARIKAT A2285;;JOHOR;47612;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;02/08/2019;4;38352;;460578;335328;3096;28495;
A2286;SSM2286;SYARIKAT A2286;;JOHOR;46696;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2287;SSM2287;SYARIKAT A2287;;JOHOR;46311;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2288;SSM2288;SYARIKAT A2288;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;07/05/2019;5;64485;;495705;235469;12788;15074;
A2289;SSM2289;SYARIKAT A2289;;JOHOR;46591;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2290;SSM2290;SYARIKAT A2290;;JOHOR;47631;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;;0;;64533;54930;1;0;
A2291;SSM2291;SYARIKAT A2291;;JOHOR;46202;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2292;SSM2292;SYARIKAT A2292;;JOHOR;47213;SBU;Boss;Ketua;Amoi;;2018;50-Salah Penyiasatan;Selesai;Kerja Luar;16/04/2019;1;;;30000;;;;
A2293;SSM2293;SYARIKAT A2293;;JOHOR;45300;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;Kerja Luar;21/05/2019;1;0;;64933;55270;1;0;
A2294;SSM2294;SYARIKAT A2294;;JOHOR;47212;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2295;SSM2295;SYARIKAT A2295;;JOHOR;47413;SBU;Boss;Ketua;Amoi;;2018;40-Telah tutup;Selesai;Kerja Luar;02/06/2019;;;;;;;;
A2296;SSM2296;SYARIKAT A2296;;JOHOR;46595;SBU;Boss;Ketua;Amoi;;2018;40-Telah tutup;Selesai;Kerja Luar;07/05/2019;;;;;;;;
A2297;SSM2297;SYARIKAT A2297;;JOHOR;47591;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;;0;;80094;68175;1;0;
A2298;SSM2298;SYARIKAT A2298;;JOHOR;47735;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2299;SSM2299;SYARIKAT A2299;;JOHOR;45300;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;1;0;;80202;68267;1;;
A2300;SSM2300;SYARIKAT A2300;;JOHOR;47635;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A2301;SSM2301;SYARIKAT A2301;;JOHOR;47412;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;14/08/2019;5;54974;;529534;377980;98286;60012;
A2302;SSM2302;SYARIKAT A2302;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;1;0;;55801;47497;1;;
